variable,x,y
Bioclim2,3.174999952316284,5.551665793745997E-10
Bioclim2,3.195599952697754,5.551665793745997E-10
Bioclim2,3.2161999530792236,5.551665793745997E-10
Bioclim2,3.2367999534606935,5.551665793745997E-10
Bioclim2,3.257399953842163,5.551665793745997E-10
Bioclim2,3.277999954223633,5.551665793745997E-10
Bioclim2,3.2985999546051024,5.551665793745997E-10
Bioclim2,3.3191999549865723,5.551665793745997E-10
Bioclim2,3.339799955368042,5.551665793745997E-10
Bioclim2,3.3603999557495117,5.551665793745997E-10
Bioclim2,3.3809999561309816,5.551665793745997E-10
Bioclim2,3.401599956512451,5.551665793745997E-10
Bioclim2,3.422199956893921,5.551665793745997E-10
Bioclim2,3.4427999572753905,5.551665793745997E-10
Bioclim2,3.4633999576568604,5.551665793745997E-10
Bioclim2,3.4839999580383303,5.551665793745997E-10
Bioclim2,3.5045999584197998,5.551665793745997E-10
Bioclim2,3.5251999588012697,5.551665793745997E-10
Bioclim2,3.545799959182739,5.551665793745997E-10
Bioclim2,3.566399959564209,5.551665793745997E-10
Bioclim2,3.5869999599456786,5.551665793745997E-10
Bioclim2,3.6075999603271485,5.551665793745997E-10
Bioclim2,3.628199960708618,5.551665793745997E-10
Bioclim2,3.648799961090088,5.551665793745997E-10
Bioclim2,3.669399961471558,5.551665793745997E-10
Bioclim2,3.6899999618530273,5.551665793745997E-10
Bioclim2,3.710599962234497,5.551665793745997E-10
Bioclim2,3.7311999626159666,5.551665793745997E-10
Bioclim2,3.7517999629974366,5.551665793745997E-10
Bioclim2,3.7723999633789065,5.551665793745997E-10
Bioclim2,3.792999963760376,5.551665793745997E-10
Bioclim2,3.8135999641418454,5.551665793745997E-10
Bioclim2,3.8341999645233154,5.551665793745997E-10
Bioclim2,3.8547999649047853,5.551665793745997E-10
Bioclim2,3.8753999652862547,5.551665793745997E-10
Bioclim2,3.8959999656677247,5.551665793745997E-10
Bioclim2,3.916599966049194,5.551665793745997E-10
Bioclim2,3.937199966430664,5.551665793745997E-10
Bioclim2,3.957799966812134,5.551665793745997E-10
Bioclim2,3.9783999671936034,5.551665793745997E-10
Bioclim2,3.9989999675750734,5.551665793745997E-10
Bioclim2,4.019599967956543,5.551665793745997E-10
Bioclim2,4.040199968338013,5.955074211527744E-10
Bioclim2,4.060799968719483,7.349928443645126E-10
Bioclim2,4.081399969100952,9.071453588305189E-10
Bioclim2,4.101999969482422,1.1196199523055839E-9
Bioclim2,4.1225999698638915,1.3818678423760389E-9
Bioclim2,4.1431999702453615,1.7055337142579674E-9
Bioclim2,4.163799970626831,2.105009500041888E-9
Bioclim2,4.1843999710083,2.598064874348438E-9
Bioclim2,4.20499997138977,3.2065923250002015E-9
Bioclim2,4.22559997177124,3.957651095731762E-9
Bioclim2,4.24619997215271,4.884649573710931E-9
Bioclim2,4.26679997253418,6.02874905553108E-9
Bioclim2,4.287399972915649,7.4408230688050025E-9
Bioclim2,4.307999973297119,9.183682259106263E-9
Bioclim2,4.328599973678589,1.1334715388500172E-8
Bioclim2,4.349199974060059,1.3989571279182655E-8
Bioclim2,4.369799974441529,1.7266341245658623E-8
Bioclim2,4.390399974822998,2.131052134757283E-8
Bioclim2,4.410999975204468,2.6301943734097222E-8
Bioclim2,4.431599975585938,3.2462633470231594E-8
Bioclim2,4.452199975967407,4.006614062745939E-8
Bioclim2,4.4727999763488775,4.9450569861164695E-8
Bioclim2,4.4933999767303465,6.103334726503817E-8
Bioclim2,4.513999977111816,7.532878498750506E-8
Bioclim2,4.534599977493286,9.29725416654037E-8
Bioclim2,4.555199977874755,1.147494472775179E-7
Bioclim2,4.575799978256225,1.4162645811666152E-7
Bioclim2,4.596399978637695,1.7479868574810098E-7
Bioclim2,4.616999979019165,2.1574166453319776E-7
Bioclim2,4.637599979400635,2.662734175373771E-7
Bioclim2,4.658199979782104,3.28640851421369E-7
Bioclim2,4.678799980163574,4.056182092426752E-7
Bioclim2,4.699399980545044,5.006234573556867E-7
Bioclim2,4.719999980926514,6.178811418067198E-7
Bioclim2,4.740599981307984,7.626070441801858E-7
Bioclim2,4.761199981689453,9.412273129782989E-7
Bioclim2,4.781799982070923,1.1616847359618987E-6
Bioclim2,4.802399982452393,1.4337852007884067E-6
Bioclim2,4.8229999828338626,1.769611003510363E-6
Bioclim2,4.8435999832153325,2.1840946828888264E-6
Bioclim2,4.8641999835968015,2.6956734018313E-6
Bioclim2,4.884799983978271,3.327062131575076E-6
Bioclim2,4.905399984359741,4.106336291442858E-6
Bioclim2,4.925999984741211,5.068158770882292E-6
Bioclim2,4.946599985122681,6.255236257857177E-6
Bioclim2,4.96719998550415,7.72035309637431E-6
Bioclim2,4.98779998588562,9.52867867454188E-6
Bioclim2,5.00839998626709,1.1760505003621802E-5
Bioclim2,5.028999986648559,1.4515069779008627E-5
Bioclim2,5.049599987030029,1.7914895579451695E-5
Bioclim2,5.070199987411499,2.211093669757247E-5
Bioclim2,5.090799987792969,2.7289765057503246E-5
Bioclim2,5.111399988174439,3.3681724744383246E-5
Bioclim2,5.131999988555908,4.1570609027985483E-5
Bioclim2,5.152599988937378,5.1307168178027496E-5
Bioclim2,5.173199989318848,6.332443444989622E-5
Bioclim2,5.1937999897003175,7.815592107363045E-5
Bioclim2,5.2143999900817875,9.646097896620631E-5
Bioclim2,5.2349999904632565,1.1905363498954102E-4
Bioclim2,5.255599990844726,1.4693672710563987E-4
Bioclim2,5.276199991226196,1.8134963465854526E-4
Bioclim2,5.296799991607666,2.2382229508366436E-4
Bioclim2,5.317399991989136,2.7623947244137526E-4
Bioclim2,5.337999992370605,3.4093018621206284E-4
Bioclim2,5.358599992752075,4.2076926911249757E-4
Bioclim2,5.379199993133545,5.192976677790284E-4
Bioclim2,5.399799993515014,6.408903864212334E-4
Bioclim2,5.420399993896485,7.909463602118194E-4
Bioclim2,5.440999994277954,9.761140681803226E-4
Bioclim2,5.461599994659424,0.0012046050978824496
Bioclim2,5.482199995040894,0.0014865491539239883
Bioclim2,5.502799995422363,0.0018344143172726035
Bioclim2,5.523399995803834,0.0022635904606431723
Bioclim2,5.543999996185303,0.0027930487412959337
Bioclim2,5.5645999965667725,0.003446117741987109
Bioclim2,5.585199996948242,0.004251561127603054
Bioclim2,5.6057999973297115,0.005244786385446787
Bioclim2,5.626399997711182,0.006469256244599819
Bioclim2,5.646999998092651,0.007978448644280434
Bioclim2,5.667599998474121,0.009838015772402287
Bioclim2,5.688199998855591,0.012128284201025963
Bioclim2,5.70879999923706,0.014947684481739998
Bioclim2,5.72939999961853,0.018416451290249825
Bioclim2,5.75,0.02268075942993164
Bioclim2,5.77060000038147,0.027918333187699318
Bioclim2,5.79120000076294,0.0343441516160965
Bioclim2,5.811800001144409,0.04221634939312935
Bioclim2,5.832400001525879,0.05184397101402283
Bioclim2,5.853000001907349,0.06359358131885529
Bioclim2,5.873600002288818,0.07789436727762222
Bioclim2,5.8942000026702885,0.09524397552013397
Bioclim2,5.914800003051758,0.11620838195085526
Bioclim2,5.9354000034332275,0.141414076089859
Bioclim2,5.956000003814697,0.17153459787368774
Bioclim2,5.976600004196166,0.20725807547569275
Bioclim2,5.997200004577637,0.24923132359981537
Bioclim2,6.017800004959106,0.29798439145088196
Bioclim2,6.038400005340576,0.35381531715393066
Bioclim2,6.059000005722046,0.4166385233402252
Bioclim2,6.079600006103515,0.48582032322883606
Bioclim2,6.100200006484986,0.5600032210350037
Bioclim2,6.120800006866455,0.636974573135376
Bioclim2,6.141400007247925,0.713671863079071
Bioclim2,6.162000007629395,0.7168537974357605
Bioclim2,6.182600008010864,0.7001895904541016
Bioclim2,6.203200008392334,0.6833663582801819
Bioclim2,6.223800008773804,0.6664251685142517
Bioclim2,6.244400009155274,0.649407148361206
Bioclim2,6.2650000095367435,0.6323509216308594
Bioclim2,6.2856000099182125,0.6152936816215515
Bioclim2,6.3062000102996825,0.5982720255851746
Bioclim2,6.326800010681152,0.5813195705413818
Bioclim2,6.347400011062621,0.5644680261611938
Bioclim2,6.368000011444092,0.5477481484413147
Bioclim2,6.388600011825561,0.5311874747276306
Bioclim2,6.409200012207031,0.5148115158081055
Bioclim2,6.429800012588501,0.4986446499824524
Bioclim2,6.45040001296997,0.4827081561088562
Bioclim2,6.471000013351441,0.4670211374759674
Bioclim2,6.49160001373291,0.4516018033027649
Bioclim2,6.51220001411438,0.4364652633666992
Bioclim2,6.53280001449585,0.42162472009658813
Bioclim2,6.553400014877319,0.40303874015808105
Bioclim2,6.57400001525879,0.37826237082481384
Bioclim2,6.594600015640259,0.3545295000076294
Bioclim2,6.615200016021729,0.3318670988082886
Bioclim2,6.6358000164031985,0.31028762459754944
Bioclim2,6.6564000167846675,0.2897924780845642
Bioclim2,6.677000017166138,0.2703748643398285
Bioclim2,6.697600017547607,0.25201839208602905
Bioclim2,6.718200017929077,0.2347000688314438
Bioclim2,6.738800018310547,0.21839268505573273
Bioclim2,6.759400018692016,0.20306339859962463
Bioclim2,6.780000019073486,0.18867623805999756
Bioclim2,6.800600019454956,0.17519374191761017
Bioclim2,6.821200019836426,0.162575826048851
Bioclim2,6.841800020217896,0.1507815271615982
Bioclim2,6.862400020599365,0.1397702395915985
Bioclim2,6.883000020980835,0.129500612616539
Bioclim2,6.903600021362305,0.11993183195590973
Bioclim2,6.924200021743774,0.11102447658777237
Bioclim2,6.944800022125245,0.10273948311805725
Bioclim2,6.965400022506714,0.09503908455371857
Bioclim2,6.986000022888184,0.08788736909627914
Bioclim2,7.0066000232696535,0.08124938607215881
Bioclim2,7.0272000236511225,0.07509176433086395
Bioclim2,7.047800024032593,0.06942298263311386
Bioclim2,7.068400024414062,0.06465945392847061
Bioclim2,7.089000024795532,0.06138831004500389
Bioclim2,7.109600025177002,0.05899138003587723
Bioclim2,7.130200025558471,0.057359859347343445
Bioclim2,7.150800025939942,0.056677013635635376
Bioclim2,7.171400026321411,0.05746956542134285
Bioclim2,7.192000026702881,0.05902732536196709
Bioclim2,7.212600027084351,0.06081490218639374
Bioclim2,7.23320002746582,0.06265474855899811
Bioclim2,7.25380002784729,0.0645483136177063
Bioclim2,7.27440002822876,0.06649710983037949
Bioclim2,7.29500002861023,0.0685025081038475
Bioclim2,7.3156000289917,0.07056606560945511
Bioclim2,7.336200029373169,0.07268938422203064
Bioclim2,7.3568000297546385,0.0748739242553711
Bioclim2,7.3774000301361085,0.07712135463953018
Bioclim2,7.398000030517578,0.07943335920572281
Bioclim2,7.418600030899048,0.08182712644338608
Bioclim2,7.439200031280517,0.0844099298119545
Bioclim2,7.459800031661987,0.08807430416345596
Bioclim2,7.480400032043457,0.09366921335458755
Bioclim2,7.501000032424927,0.10131104290485382
Bioclim2,7.521600032806396,0.111530601978302
Bioclim2,7.542200033187866,0.1239260733127594
Bioclim2,7.562800033569336,0.13758938014507294
Bioclim2,7.583400033950806,0.15262393653392792
Bioclim2,7.604000034332276,0.16913394629955292
Bioclim2,7.624600034713745,0.18722449243068695
Bioclim2,7.645200035095215,0.20699837803840637
Bioclim2,7.665800035476685,0.2285514622926712
Bioclim2,7.686400035858155,0.25197166204452515
Bioclim2,7.707000036239624,0.2773332893848419
Bioclim2,7.7276000366210935,0.3046896755695343
Bioclim2,7.748200037002563,0.33407068252563477
Bioclim2,7.768800037384033,0.3654741048812866
Bioclim2,7.789400037765503,0.3988558351993561
Bioclim2,7.810000038146972,0.43412646651268005
Bioclim2,7.830600038528442,0.47114139795303345
Bioclim2,7.851200038909912,0.5096909403800964
Bioclim2,7.871800039291382,0.5494997501373291
Bioclim2,7.892400039672852,0.5902206897735596
Bioclim2,7.913000040054321,0.6314319968223572
Bioclim2,7.933600040435791,0.6726471185684204
Bioclim2,7.954200040817261,0.7133219242095947
Bioclim2,7.974800041198731,0.7528684139251709
Bioclim2,7.9954000415802,0.7906838059425354
Bioclim2,8.01600004196167,0.8261765837669373
Bioclim2,8.036600042343139,0.8588033318519592
Bioclim2,8.05720004272461,0.8881042003631592
Bioclim2,8.07780004310608,0.9137403964996338
Bioclim2,8.098400043487548,0.9065544009208679
Bioclim2,8.119000043869018,0.8944058418273926
Bioclim2,8.13960004425049,0.881428062915802
Bioclim2,8.160200044631958,0.8676481246948242
Bioclim2,8.180800045013427,0.8531017899513245
Bioclim2,8.201400045394898,0.8378317952156067
Bioclim2,8.222000045776367,0.821884274482727
Bioclim2,8.242600046157836,0.8053123950958252
Bioclim2,8.263200046539307,0.7881733775138855
Bioclim2,8.283800046920776,0.7705251574516296
