Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.84981E-11,0.000000003,0.000000076,1,0,0
3.37837E-11,0.000000013,0.000000091,0.999700808,0,0
3.41735E-11,0.000000026,0.000000092,0.999301885,0,0
4.55235E-11,0.0000001,0.000000122,0.997407001,0,0
7.30309E-11,0.000000254,0.000000196,0.994814002,0,0
1.90648E-10,0.000001011,0.000000511,0.989129351,0,0
2.82204E-10,0.000002502,0.000000757,0.982746584,0,0
6.32064E-10,0.000010023,0.000001695,0.96569263,0,0
1.40946E-9,0.000025006,0.00000378,0.950433829,0,0
2.28341E-9,0.000050043,0.000006124,0.936770719,0,0
3.84529E-9,0.000100072,0.000010313,0.920514611,0,0
6.95443E-9,0.000250624,0.000018651,0.892091353,0,0
1.28664E-8,0.000500011,0.000034506,0.866360826,0,0
2.33525E-8,0.001001516,0.000062628,0.83813703,0,0
5.84648E-8,0.002501538,0.000156786,0.79834447,0,0
1.07979E-7,0.005005052,0.00028955,0.767228483,0,0
2.14643E-7,0.010009302,0.000575494,0.735613843,0,0
4.52659E-7,0.025012899,0.001213266,0.68864067,0,0
8.96613E-7,0.050076506,0.002401769,0.650443802,0,0
1.67684E-6,0.10010992,0.004487086,0.610950434,0,0
3.18217E-6,0.200044996,0.008498045,0.568764336,0,0
4.55389E-6,0.300286151,0.012138963,0.542834347,0,0
6.02408E-6,0.400506021,0.016026361,0.523686048,0,0
7.39403E-6,0.500216093,0.019634982,0.508826169,0,0
8.61053E-6,0.600597753,0.022828263,0.496359828,0,0
1.00589E-5,0.700681216,0.02661659,0.485688641,0,0
1.0622E-5,0.750411914,0.02808559,0.480901566,0,0
1.13659E-5,0.800212514,0.030022694,0.476413683,0,0
1.28404E-5,0.901251858,0.033851014,0.468136033,0,0
1.41903E-5,1.000399659,0.037342295,0.46085569,0,0
1.53812E-5,1.101163212,0.040412159,0.454074,0,0
1.64788E-5,1.200064401,0.043232771,0.447890695,0,0
1.80819E-5,1.301793521,0.047337486,0.442006582,0,0
1.90428E-5,1.400189397,0.049789322,0.436720854,0,0
2.04106E-5,1.500944618,0.053268527,0.431634587,0,0
2.3076E-5,1.750070759,0.06001207,0.420165553,0,0
2.55322E-5,2.000968754,0.066183847,0.409893288,0,0
2.81231E-5,2.25094067,0.072650085,0.400618331,0,0
3.081E-5,2.501087492,0.079308585,0.392141219,0.019230769,0
3.31524E-5,2.750158144,0.085074412,0.384362222,0.038461538,0
3.59333E-5,3.002693061,0.091872738,0.377081879,0.038461538,0
3.93601E-5,3.253377839,0.10018066,0.37039992,0.038461538,0
4.19291E-5,3.501469913,0.106358978,0.364316346,0.038461538,0
4.4304E-5,3.751317394,0.112032766,0.358531964,0.038461538,0
4.6587E-5,4.000985672,0.117453108,0.353046774,0.038461538,0
4.92455E-5,4.254815519,0.123723073,0.347761045,0.038461538,0
5.18109E-5,4.502088645,0.129731418,0.34287424,0.038461538,0.071428571
5.45662E-5,4.753537814,0.136138701,0.338186895,0.038461538,0.071428571
5.71433E-5,5.005612847,0.142088582,0.333699013,0.038461538,0.071428571
5.94594E-5,5.250811484,0.147401246,0.329510322,0.038461538,0.071428571
6.15654E-5,5.505192743,0.152203258,0.325321632,0.038461538,0.071428571
6.37281E-5,5.755828428,0.157106441,0.321332403,0.038461538,0.071428571
6.52607E-5,6.001028673,0.160563801,0.317542635,0.038461538,0.071428571
6.72893E-5,6.252859546,0.165118582,0.313752867,0.038461538,0.071428571
6.89152E-5,6.504979229,0.168751053,0.31006283,0.038461538,0.071428571
7.10087E-5,6.757078064,0.173405279,0.306472524,0.038461538,0.071428571
7.31715E-5,7.001878132,0.178186053,0.303081679,0.038461538,0.071428571
7.57012E-5,7.255363141,0.183742603,0.299690835,0.057692308,0.071428571
7.82397E-5,7.501574124,0.189280968,0.296499451,0.057692308,0.071428571
8.04733E-5,7.755572211,0.194122972,0.293308068,0.057692308,0.071428571
8.24476E-5,8.000339937,0.198378825,0.290316146,0.057692308,0.071428571
8.45008E-5,8.250604494,0.202780817,0.287324225,0.057692308,0.071428571
8.60569E-5,8.506804383,0.206100903,0.284332303,0.057692308,0.071428571
8.77086E-5,8.758481631,0.209609865,0.281440112,0.076923077,0.071428571
8.92236E-5,9.006227299,0.212814818,0.278647651,0.076923077,0.071428571
9.08199E-5,9.258690485,0.216177668,0.275855191,0.076923077,0.071428571
9.26017E-5,9.506664393,0.219914363,0.273162461,0.076923077,0.071428571
9.41886E-5,9.758877203,0.223227413,0.270469732,0.076923077,0.071428571
9.57332E-5,10.00607919,0.22643842,0.267876733,0.076923077,0.071428571
9.69712E-5,10.256818225,0.229002567,0.265283734,0.076923077,0.071428571
9.82152E-5,10.500995391,0.231570559,0.262790466,0.076923077,0.071428571
9.96764E-5,10.758669309,0.234576098,0.260197467,0.076923077,0.071428571
1.01583E-4,11.000829304,0.23847975,0.257803929,0.076923077,0.071428571
1.02509E-4,11.256003162,0.240369563,0.255310661,0.076923077,0.071428571
1.0464E-4,11.504731151,0.244698313,0.252917124,0.096153846,0.071428571
1.06032E-4,11.75741204,0.247513334,0.250523586,0.096153846,0.071428571
1.08139E-4,12.003981545,0.251752402,0.24822978,0.096153846,0.071428571
1.09778E-4,12.25455739,0.255034723,0.245935973,0.096153846,0.071428571
1.11178E-4,12.508791808,0.257825898,0.243642166,0.096153846,0.071428571
1.12976E-4,12.755345141,0.261396528,0.24144809,0.096153846,0.071428571
1.14644E-4,13.005535636,0.264692996,0.239254014,0.096153846,0.071428571
1.16231E-4,13.259520472,0.267816164,0.237059938,0.096153846,0.071428571
1.17575E-4,13.505110509,0.270451679,0.234965593,0.096153846,0.071428571
1.18798E-4,13.753251024,0.272840359,0.232871248,0.096153846,0.071428571
1.20966E-4,14.004743456,0.27705497,0.230776902,0.096153846,0.071428571
1.22281E-4,14.260121513,0.279601489,0.228682557,0.115384615,0.071428571
1.23925E-4,14.506475273,0.28276942,0.226687943,0.134615385,0.071428571
1.25181E-4,14.755591773,0.285182838,0.224693328,0.134615385,0.071428571
1.26381E-4,15.007424203,0.287478084,0.222698713,0.134615385,0.071428571
1.27767E-4,15.261383691,0.29012171,0.220704099,0.134615385,0.071428571
1.29327E-4,15.505722101,0.293086635,0.218809215,0.134615385,0.071428571
1.30564E-4,15.752804286,0.295427394,0.216914331,0.153846154,0.071428571
1.31731E-4,16.00204579,0.297628403,0.215019447,0.153846154,0.071428571
1.33156E-4,16.253474274,0.300307583,0.213124564,0.153846154,0.071428571
1.35124E-4,16.508479128,0.303991948,0.21122968,0.153846154,0.071428571
1.3686E-4,16.753252173,0.307224245,0.209434527,0.153846154,0.071428571
1.38517E-4,17.001055916,0.310297067,0.207639374,0.173076923,0.071428571
1.39634E-4,17.251579645,0.312359128,0.205844221,0.173076923,0.071428571
1.41046E-4,17.504346857,0.314958306,0.204049068,0.173076923,0.071428571
1.42408E-4,17.759595747,0.317456096,0.202253914,0.173076923,0.071428571
1.436E-4,18.002815762,0.319634966,0.200558492,0.173076923,0.071428571
1.45808E-4,18.263351895,0.323651819,0.198763339,0.173076923,0.071428571
1.46608E-4,18.511939891,0.325101599,0.197067917,0.173076923,0.071428571
1.4799E-4,18.762445448,0.327598874,0.195372494,0.173076923,0.071428571
1.49019E-4,19.000073531,0.329451876,0.193776803,0.173076923,0.071428571
1.49887E-4,19.254089309,0.331010761,0.19208138,0.173076923,0.071428571
1.5105E-4,19.509861844,0.333093273,0.190385958,0.173076923,0.071428571
1.52125E-4,19.752359637,0.335013117,0.188790266,0.173076923,0.071428571
1.54238E-4,20.012682598,0.338772195,0.187094844,0.173076923,0.071428571
1.55693E-4,20.260639377,0.341347483,0.185499152,0.173076923,0.071428571
1.56779E-4,20.510580657,0.343263024,0.183903461,0.173076923,0.071428571
1.58517E-4,20.76277208,0.346317032,0.182307769,0.173076923,0.071428571
1.60099E-4,21.001860804,0.34908472,0.180811808,0.173076923,0.071428571
1.61876E-4,21.259628665,0.352178667,0.179216116,0.173076923,0.071428571
1.6369E-4,21.50395584,0.355323146,0.177720156,0.173076923,0.071428571
1.64773E-4,21.750469425,0.357193446,0.176224195,0.173076923,0.071428571
1.65898E-4,22.014975973,0.359129553,0.174628503,0.173076923,0.071428571
1.67226E-4,22.264914758,0.361408469,0.173132542,0.192307692,0.071428571
1.68705E-4,22.500111737,0.363935913,0.171736312,0.192307692,0.071428571
1.70412E-4,22.754852748,0.366840656,0.170240351,0.192307692,0.071428571
1.71382E-4,23.011294135,0.36848601,0.16874439,0.192307692,0.071428571
1.7323E-4,23.252642996,0.371608447,0.16734816,0.192307692,0.071428571
1.74496E-4,23.51348657,0.373738452,0.165852199,0.192307692,0.071428571
1.76034E-4,23.758801029,0.376316306,0.164455969,0.192307692,0.071428571
1.77977E-4,24.00666226,0.379557632,0.163059739,0.192307692,0.071428571
1.79665E-4,24.257234128,0.382360645,0.161663509,0.192307692,0.071428571
1.81081E-4,24.509856507,0.38470061,0.160267278,0.192307692,0.071428571
1.82603E-4,24.764710618,0.38720813,0.158871048,0.192307692,0.071428571
1.85003E-4,25.003535101,0.391139368,0.157574549,0.192307692,0.071428571
1.86902E-4,25.263858207,0.394231832,0.156178319,0.192307692,0.071428571
1.88731E-4,25.508279561,0.397196082,0.154881819,0.192307692,0.071428571
1.90231E-4,25.754741028,0.399616848,0.15358532,0.230769231,0.071428571
1.91821E-4,26.003214863,0.402171432,0.15228882,0.230769231,0.071428571
1.92629E-4,26.25317698,0.403465293,0.150992321,0.25,0.071428571
1.94071E-4,26.504283704,0.405768037,0.149695821,0.25,0.071428571
1.95193E-4,26.757247758,0.407554084,0.148399322,0.25,0.071428571
1.96614E-4,27.012100844,0.409806887,0.147102822,0.25,0.071428571
1.98462E-4,27.269021526,0.412725477,0.145806323,0.25,0.071428571
2.00897E-4,27.508817348,0.416547747,0.144609554,0.25,0.142857143
2.0342E-4,27.751753828,0.420481786,0.143412785,0.25,0.142857143
2.04846E-4,28.017444812,0.422693726,0.142116286,0.25,0.142857143
2.0614E-4,28.26416735,0.424694036,0.140919517,0.25,0.142857143
2.07817E-4,28.512642612,0.427275623,0.139722749,0.25,0.142857143
2.10049E-4,28.763434855,0.430693671,0.13852598,0.25,0.142857143
2.11566E-4,29.01658415,0.433005139,0.137329211,0.25,0.142857143
