Predictor variable,Categorical,Sample average
Bioclim2,false,8.016509478946901
Clipped_bioclim12,false,1251.1698113207547
Clipped_bioclim14,false,41.9811320754717
Clipped_bioclim15,false,47.20148784709426
Clipped_bioclim18,false,245.9056603773585
Clipped_bioclim3,false,145.89821351249262
Clipped_bioclim4,false,145.89821351249262
Clipped_elev,false,82.28301886792453
mean_temp_final3_ready,false,24.013049935394864
