type,latitude,longitude,altitude (ft),name,desc
W,21.97625,-159.3670278,,K2 Offspring,<div>New to 2025</div>
W,21.9761111,-159.3670833,,K2 Offspring,<div>New in 2025</div>
W,21.975189,-159.367038,,K2 Offspring,<div>Far older than 2023</div>
W,21.97625,-159.3669722,,K2 Offspring,
W,21.9761667,-159.3673611,,K2 Offspring,<div>Since 2023</div>
W,21.9760833,-159.3671111,,K2 Offspring,
W,21.9760278,-159.3671667,,K2 Offspring,
W,21.9760833,-159.3671667,,K2 Offspring,
W,21.9761667,-159.3673889,,K2 Offspring,
W,21.9761944,-159.3668056,,K2 Offspring,
W,21.9760278,-159.36675,,K2 Offspring,
W,21.9768611,-159.3648056,,K2 Offspring,
W,21.9768056,-159.3645278,,K2 Offspring,
W,21.9751389,-159.3682222,,K2 Offspring,
W,21.9758889,-159.3671667,,K2 Offspring,
W,21.9760833,-159.3674167,,K2 Offspring,
W,21.9764444,-159.3675278,,K2 Offspring,
W,21.9764444,-159.3675556,,K2 Offspring,
W,21.9764167,-159.3675556,,K2 Offspring,
W,21.9764167,-159.3675833,,K2 Offspring,
W,21.9765,-159.3670833,,K2 Offspring,
W,21.9761667,-159.3653889,,K2 Offspring,
W,21.9761944,-159.3653611,,K2 Offspring,
W,21.9760556,-159.3671667,,K2 Offspring,
W,21.9762222,-159.367,,K2 Offspring,
W,21.9755556,-159.3666667,,K2 Offspring,
W,22.21180757,-159.3836592,250,K5,<div>K Adult mother fruiting</div>
W,22.2100833,-159.38275,,K5 Offspring,<div>New in 2025</div>
W,22.2100556,-159.38275,,K5 Offspring,<div>New in 2025<br></div>
W,22.2100556,-159.3827778,,K5 Offspring,<div>New in 2025<br></div>
W,22.21,-159.3828333,,K5 Offspring,<div>New in 2025<br></div>
W,22.21,-159.3828056,,K5 Offspring,<div>New in 2025<br></div>
W,22.2100278,-159.3827778,,K5 Offspring,<div>New in 2025<br></div>
W,22.2118611,-159.3838333,,K5 Offspring,<div>New in 2025<br></div>
W,22.2118333,-159.3838889,,K5 Offspring,<div>New in 2025<br></div>
W,22.2118056,-159.3838889,,K5 Offspring,<div>New in 2025<br></div>
W,22.2122778,-159.3835833,,K5 Offspring,<div>New in 2025<br></div>
W,22.2113611,-159.3835,,K5 Offspring,<div>New in 2025<br></div>
W,22.2116111,-159.3823056,,K5 Offspring,<div>New in 2025</div>
W,22.2100833,-159.3827222,,K5 Offspring,<div>New in 2025</div>
W,22.2101111,-159.3826944,,K5 Offspring,<div>New in 2025</div>
W,22.2101389,-159.3826944,,K5 Offspring,<div>New in 2025<br></div>
W,22.2101667,-159.3826944,,K5 Offspring,<div>New to 2025</div>
W,22.2101944,-159.3826667,,K5 Offspring,<div>New in 2025</div>
W,22.2102222,-159.3826667,,K5 Offspring,<div>New in 2025</div>
W,22.21025,-159.3826667,,K5 Offspring,<div>New in 2025<br></div>
W,22.2102778,-159.3826389,,K5 Offspring,<div>New in 2025<br></div>
W,22.2103611,-159.3826389,,K5 Offspring,<div>New in 2025<br></div>
W,22.2119444,-159.3836944,,K5 Offspring,<div>New in 2025<br></div>
W,22.2119167,-159.3836944,,K5 Offspring,<div>New in 2025<br></div>
W,22.2119167,-159.3836667,,K5 Offspring,<div>New in 2025<br></div>
W,22.2114444,-159.3833611,,K5 Offspring,<div>New in 2025<br></div>
W,22.2114444,-159.38325,,K5 Offspring,<div>New in 2025<br></div>
W,22.2115278,-159.3831389,,K5 Offspring,<div>New in 2025<br></div>
W,22.2115833,-159.3827222,,K5 Offspring,<div>New in 2025<br></div>
W,22.2115833,-159.3825,,K5 Offspring,<div>New in 2025<br></div>
W,22.2118056,-159.3813889,,K5 Offspring,<div>New in 2025<br></div>
W,22.2110556,-159.3836667,,K5 Offspring,<div>New in 2025<br></div>
W,22.2099444,-159.3828889,,K5 Offspring,
W,22.2118611,-159.3837222,,K5 Offspring,
W,22.2118889,-159.3835556,,K5 Offspring,
W,22.2118333,-159.3838333,,K5 Offspring,
W,22.2118056,-159.3838333,,K5 Offspring,
W,22.2117778,-159.3838333,,K5 Offspring,
W,22.2118056,-159.3838611,,K5 Offspring,
W,22.2118333,-159.3839167,,K5 Offspring,
W,22.2119722,-159.3838333,,K5 Offspring,
W,22.2119722,-159.3838056,,K5 Offspring,
W,22.2119722,-159.3839722,,K5 Offspring,
W,22.2105833,-159.3839444,,K5 Offspring,
W,22.211,-159.3836667,,K5 Offspring,
W,22.2110833,-159.3836389,,K5 Offspring,
W,22.2114444,-159.3833889,,K5 Offspring,
W,22.2099167,-159.3828889,,K5 Offspring,<div>2023-2025</div>
W,22.2119722,-159.3838889,,K5 Offspring,<div>2023-2025<br></div>
W,22.2116944,-159.3828889,,K5 Offspring,"<div>Older than 2023, still there 2025</div>"
W,22.2116667,-159.3830833,,K5 Offspring,<div>2023-2025</div>
W,21.907638,-159.593462,,K3,<div>K Adult mother tree</div>
W,21.9678333,-159.7098889,,K21 Offspring,
W,21.9678056,-159.7099167,,K21 Offspring,
W,21.9677778,-159.7099167,,K21 Offspring,
W,21.9678056,-159.7099444,,K21 Offspring,
W,21.9677778,-159.7099444,,K21 Offspring,
W,21.9678056,-159.7100556,,K21 Offspring,
W,21.9678056,-159.7100833,,K21 Offspring,
W,21.9677778,-159.7100833,,K21 Offspring,
W,21.9687222,-159.7119444,,K21 Offspring,
W,21.9689444,-159.7108889,,K21 Offspring,<div>New in 2025</div>
W,21.9685,-159.7105556,,K21 Offspring,
W,21.9685278,-159.7105556,,K21 Offspring,
W,21.9684722,-159.7105278,,K21 Offspring,
W,21.9684722,-159.7104722,,K21 Offspring,
W,21.9682222,-159.7101111,,K21 Offspring,
W,21.9682222,-159.7100833,,K21 Offspring,
W,21.9684167,-159.7104444,,K21 Offspring,
W,21.9682222,-159.7101389,,K21 Offspring,
W,21.9684444,-159.7104444,,K21 Offspring,
W,21.9681944,-159.7100833,,K21 Offspring,
W,21.9681389,-159.71,,K21 Offspring,
W,21.9681389,-159.7099444,,K21 Offspring,
W,21.9681667,-159.7100278,,K21 Offspring,
W,21.9681111,-159.7099722,,K21 Offspring,
W,21.9692222,-159.7113611,,K21 Offspring 2024,<div>Found in 2024<br></div>
W,21.9689722,-159.7109444,,K21 Offspring,<div>New in 2025</div>
W,21.96911448,-159.7111704,7.5,K21 Offspring,<div>New in 2025</div>
W,21.9689444,-159.7108611,,K21 Offspring,<div>New in 2025<br></div><div><br></div>
W,21.3168333,-157.8592222,,O Offspring,
W,21.3168611,-157.8592222,,O Offspring,
W,21.317,-157.8579722,,O30,<div>Fruiting adult next to main Foster tree</div>
W,21.2980278,-157.8555556,,O Offspring,
W,21.4309167,-157.83275,,O34,"<div>Didn't see any fruit, looked about 17, but offspring was near by</div>"
W,21.6416111,-158.0558333,,O35,
W,21.2946389,-157.8441944,,O36,
W,21.3209722,-157.8504167,,O43,<div>Fruiting adult at temple<br></div><div><br></div>
W,21.3169722,-157.8443056,,O44,<div>Fruiting young adult on cemetery wall</div>
W,21.3170278,-157.8446389,,O Offspring,
W,21.3169167,-157.8448611,,O Offspring,
W,21.3169444,-157.8449722,,O Offspring,
W,21.30725,-157.839,,O45,<div>Fruiting adult in apartment parking lot</div>
W,21.3172778,-157.8016667,,O Offspring,
W,21.3065833,-157.8323056,,O46,<div>Fruiting adult in someone's yard</div>
W,21.3170278,-157.8555556,,O50,
W,21.3944722,-157.9724167,,O Offspring,
W,21.368189,-157.781771,,O Offspring,
W,21.367864,-157.781342,,O Offspring,
W,21.367605,-157.781181,,O Offspring,
W,21.415525,-157.812344,,O Offspring,
W,21.3018056,-157.8582778,,O32,<div>Fruiting Adult</div>
W,21.3022222,-157.8586944,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3018056,-157.8585,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3018056,-157.8585278,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3018611,-157.8585556,,O Offspring,<div>Likely offspring of O32<br></div><div><br></div>
W,21.3018889,-157.8585556,,O Offspring,<div>Likely offspring of O32<br></div><div><br></div>
W,21.302,-157.8586389,,O Offspring,<div>Likely offspring of O32<br></div><div><br></div>
W,21.3019722,-157.8586111,,O Offspring,<div>Likely offspring of O32<br></div><div><br></div>
W,21.3019444,-157.8586111,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3019444,-157.8585833,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3020556,-157.8586667,,O Offspring,<div>Likely offspring of O32<br></div>
