X,Y,description
-157.8381944,21.3357222,
-157.8381667,21.3357222,
-157.8381667,21.3356944,
-157.8381944,21.33575,
-157.83825,21.3357222,
-157.8382778,21.3356944,
-157.8383056,21.3357222,
-157.8383056,21.3356667,
-157.83825,21.3356667,
-157.8383333,21.3356667,
-157.8383056,21.3356389,
-157.8383333,21.3356389,
-157.8384444,21.3357778,
-157.8384444,21.33575,
-157.8383889,21.3356944,
-157.8383333,21.3356667,
-157.8383056,21.3356389,
-157.8383333,21.3356389,
-157.8383333,21.3356111,
-157.8383056,21.3355833,
-157.8382778,21.3355556,
-157.8383056,21.3355833,
-157.83825,21.3355278,
-157.83825,21.3355556,
-157.83825,21.3355278,
-157.83825,21.3355278,
-157.8382778,21.3355278,
-157.8381944,21.3354722,
-157.8384167,21.3355833,
-157.8385,21.3357778,
-157.8385,21.3358056,
-157.8383333,21.33575,
-157.8382778,21.3357222,
-157.8384722,21.3357778,
-157.8384722,21.3357778,
-157.8384444,21.3357222,
-157.8384722,21.33575,
-157.8384444,21.33575,
-157.8384444,21.33575,
-157.8384167,21.3357222,
-157.8384167,21.33575,
-157.8384444,21.3357222,
-157.8384167,21.3357222,
-157.8384167,21.3357222,
-157.8384167,21.3356944,
-157.8384167,21.3356667,
-157.8381111,21.3354722,
-157.8381111,21.3354444,
-157.8381111,21.3354444,
-157.8382222,21.3368611,
-157.8374722,21.3375,
-157.8148056,21.30125,50
-157.8145278,21.3011667,
-157.8148889,21.3009722,
-157.8155,21.3010833,
-157.8153611,21.3006667,
-157.8153889,21.3008611,
-157.8149167,21.3006944,
-157.8148889,21.3006944,
-157.8148889,21.3006667,
-157.8149167,21.3006944,
-157.8149167,21.3006667,
-157.8148056,21.3006944,
-157.8147222,21.3009167,
-157.8142222,21.3009444,
-157.8142222,21.3009722,
-157.8141667,21.3009722,
-157.8143056,21.3012778,
-157.8148611,21.3019444,5
-157.8160278,21.3015,
-157.8162222,21.3014444,
-157.817,21.3014167,
-157.817,21.3014167,
-157.8138056,21.2995556,
-157.8139444,21.3010556,
-157.81375,21.2995833,
