SampleID,Date,longitude,latitude
OO430,6-Jul-25,-157.81761,21.2960556
OO431,6-Jul-25,-157.81764,21.2960556
OO432,6-Jul-25,-157.81786,21.2961667
OO433,6-Jul-25,-157.81433,21.3006667
OO434,6-Jul-25,-157.81431,21.3011111
OO435,6-Jul-25,-157.81775,21.2970556
OO436,6-Jul-25,-157.82033,21.2968611
OO437,6-Jul-25,-157.81764,21.297007
OO438,6-Jul-25,-157.82169,21.2967778
OO439,6-Jul-25,-157.82156,21.2966667
OO440,6-Jul-25,-157.821,21.29525
OO441,6-Jul-25,-157.82128,21.2963056
OO442,6-Jul-25,-157.81933,21.2961389
OO443,6-Jul-25,-157.81922,21.2961111
OO444,6-Jul-25,-157.81961,21.2961389
OO445,6-Jul-25,-157.81964,21.2960556
OO446,6-Jul-25,-157.81964,21.2960833
OO447,6-Jul-25,-157.81967,21.2960556
OO448,6-Jul-25,-157.81958,21.2958889
OO449,6-Jul-25,-157.81967,21.2960278
OO450,6-Jul-25,-157.81906,21.2960278
OO451,6-Jul-25,-157.81897,21.2959444
OO452,6-Jul-25,-157.81897,21.2959444
OO453,6-Jul-25,-157.81906,21.296
OO454,6-Jul-25,-157.81897,21.2958333
OO455,6-Jul-25,-157.81908,21.2958611
OO456,6-Jul-25,-157.81897,21.2958889
OO457,6-Jul-25,-157.81969,21.2958611
OO458,6-Jul-25,-157.81978,21.2959444
OO459,6-Jul-25,-157.81975,21.2958889
OO460,6-Jul-25,-157.81975,21.2961111
OO461,6-Jul-25,-157.81978,21.2960833
OO462,6-Jul-25,-157.81978,21.2960278
OO463,6-Jul-25,-157.81978,21.2959722
OO464,6-Jul-25,-157.81978,21.296
OO465,6-Jul-25,-157.81772,21.2969722
OO466,6-Jul-25,-157.81586,21.3015
OO467,6-Jul-25,-157.81822,21.2943333
OO468,6-Jul-25,-157.819,21.2933611
OO469,6-Jul-25,-157.81811,21.2940278
OO470,6-Jul-25,-157.81833,21.2930278
OO471,6-Jul-25,-157.81803,21.2934722
