Name,Description,longitude,latitude
O43,<div>Fruiting adult at temple<br></div><div><br></div>,-157.8504167,21.3209722
O44,<div>Fruiting young adult on cemetery wall</div>,-157.8443056,21.3169722
O Offspring,,-157.8446389,21.3170278
O Offspring,,-157.8448611,21.3169167
O Offspring,,-157.8449722,21.3169444
O45,<div>Fruiting adult in apartment parking lot</div>,-157.839,21.30725
O Offspring,,-157.8016667,21.3172778
O46,<div>Fruiting adult in someone's yard</div>,-157.8323056,21.3065833
O50,,-157.8555556,21.3170278
O Offspring,,-157.9724167,21.3944722
O Offspring,,-157.781771,21.368189
O Offspring,,-157.781342,21.367864
O Offspring,,-157.781181,21.367605
O Offspring,,-157.812344,21.415525
O48,,-158.0171667,21.3845833
O Offspring,<div>Likely offspring of O48</div>,-158.0155,21.3863333
O Offspring,<div>Likely offspring of O48<br></div>,-158.0155,21.3861667
O Offspring,<div>Likely offspring of O48<br></div>,-158.0155,21.3862222
O Offspring,<div>Likely offspring of O48<br></div>,-158.0163889,21.3853889
O Offspring,<div>Likely offspring of O48<br></div>,-158.0154444,21.3860556
O18,,-158.0227778,21.4986667
O Offspring,<div>Likely O18 Offspring<br></div>,-158.0232222,21.4984444
O Offspring,<div>Likely O18 Offspring<br></div>,-158.0231389,21.4985833
O Offspring,<div>Likely O18 Offspring<br></div>,-158.0252222,21.4996944
O Offspring,<div>Likely O18 Offspring</div>,-158.0258056,21.4996944
O17,<div>Nichiren Temple Adult</div>,-157.83775,21.3383056
O Offspring,<div>Offspring of O17 or O49 likely</div>,-157.83775,21.3382222
O49,<div>Old old tree near Queen Emma's palace</div>,-157.8372778,21.3381111
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8368889,21.3379722
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8376667,21.3383611
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8389722,21.3389167
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381944,21.3368889
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381667,21.3358056
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381111,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381667,21.3357778
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381389,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382778,21.3358056
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382778,21.3358889
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381944,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381667,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381667,21.3356944
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381944,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.83825,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382778,21.3356944
