X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-155.9634821,19.59960233,train,3.4316380682453563E-4,36.77868542420326,0.4634961389848651
-155.9701389,19.594,train,3.14716094857528E-4,34.34782651554684,0.43507497298902
-155.928562,19.54247509,train,2.9216659352808852E-5,2.0693098746792247,0.05163378377015371
-155.9131064,19.49191103,train,2.302433883978786E-5,1.561058039066646,0.040917697831602595
-155.8981389,19.4578056,train,1.711978606998156E-4,19.438403214395848,0.2670251601277136
-155.9044167,19.425,train,3.778585147625045E-4,38.92406372014998,0.4962303499781111
-155.59025,19.0595556,train,1.2087142614726094E-4,13.551655988650925,0.19693932239609402
-155.0396111,19.6245278,train,1.859350759143562E-4,21.397410324946534,0.2863659928241401
-155.3732222,20.0411389,train,4.229306965400476E-5,3.3335474626210724,0.0738713332724723
-159.367397,21.9761102,train,6.460741103460383E-4,55.73079893271587,0.690352830553894
-159.3648056,21.9768611,train,6.659864411908013E-4,56.24711060730285,0.701341154916979
-159.384475,22.20865,train,1.7224578863447594E-4,19.553440651336683,0.26841758619579426
-159.38275,22.2100833,train,3.119750729675718E-4,34.12681332704381,0.43225822310265716
-159.509247,21.924507,train,2.398375990423275E-4,27.02500140411014,0.3528601565876992
-159.7088056,21.9679722,train,9.569681062549239E-5,10.064092662148061,0.15940463691452877
-159.593462,21.907638,train,5.6055709320708735E-5,4.978063333617659,0.09671291053414999
-157.8592222,21.3168333,train,0.006203709150713206,97.2336471206133,0.9999870811796204
-157.8579722,21.317,train,0.003754053129009943,90.15923712501237,0.9988993424121038
-157.8555556,21.2980278,train,0.006998896569022777,98.58310953264578,0.9999969480137368
-157.83275,21.4309167,train,2.566502496547449E-4,28.758039933185437,0.3723044040527409
-158.0558333,21.6416111,train,2.1983693133865661E-4,25.018404737596274,0.32894288470242405
-157.8441944,21.2946389,train,0.007110506768333417,99.99995594557684,0.9999975075344641
-157.8582778,21.3018056,train,0.006074654278219177,96.6133008517199,0.9999836723609786
-157.8586944,21.3022222,train,0.005189031982447806,94.92609399376134,0.9999185614436146
-157.8148056,21.30125,train,0.002138392347946199,81.61187446455487,0.9793528951325632
-157.817,21.3014167,train,0.0025324593907281876,84.8160211839555,0.9899000743079557
-157.8138056,21.2995556,train,0.0024526424025823534,84.5627848007039,0.9883260658982007
-157.8443056,21.3169722,train,0.002143726050689684,81.82599426819095,0.9795517574877052
-157.839,21.30725,train,0.005131274179132548,94.40722163941213,0.999909563117434
-157.8016667,21.3172778,train,0.001298127791994802,71.03684330149919,0.9051533313721848
-157.8323056,21.3065833,train,0.003948313985136955,91.68710828937593,0.9992263104814831
-157.9724167,21.3944722,train,8.872011767000744E-4,64.01978472287915,0.8000832878304855
-157.781771,21.368189,train,2.877532138955598E-4,31.70093869253903,0.40674873816777957
-157.812344,21.415525,train,4.376752707222151E-4,43.27214143628725,0.5480463026864328
-158.0171667,21.3845833,train,3.6482780779681216E-4,38.26876897367405,0.4841769668720326
-158.0155,21.3863333,train,4.3623248820153605E-4,43.18967271919634,0.5468615493898006
-158.0227778,21.4986667,train,7.823685306981131E-5,7.7713568595664535,0.13234684093461468
-158.0252222,21.4996944,train,6.706061237437195E-5,6.369037356307803,0.114571517622855
-157.83775,21.3383056,train,8.270393864377468E-4,62.06898322103672,0.7770235186212587
-157.8481389,21.3121667,train,0.001423148178084092,72.83939376894006,0.9244036387298405
-157.8501944,21.311,train,0.0031813438613776403,87.97635561015255,0.9968884942075281
-157.8617222,21.3144444,train,0.0022990493983118866,83.6078908833987,0.9845739469150532
-157.8644444,21.2948056,train,0.007058350179016176,99.28895176336758,0.9999972601253607
-157.8348333,21.29925,train,0.00649573445833133,97.88323084936333,0.9999923950748216
-157.81475,21.2888056,train,0.004488926349820624,92.96373899282236,0.9997099038221293
-157.813061,21.312601,train,0.001374847829998479,72.34027152484819,0.9174791778356447
-157.8459167,21.3276667,train,0.0010921914260313725,67.55774630849002,0.8621812265636194
-157.849171,21.304558,train,0.005450045633973087,96.00579171757057,0.9999492845120219
-157.8181111,21.2940278,train,0.004641308732685453,93.42787150991464,0.9997799818837464
-156.4782754,20.8901656,train,4.7604091588046273E-4,46.09352027108519,0.5784391783041247
-158.0558167,21.64168889,train,1.1597336332009673E-4,12.846336731471174,0.18977015734362712
-155.5504133,19.08601117,train,2.694558267990473E-4,30.010859961576372,0.3867214687928293
-156.4372437,20.67469717,train,5.404694953951147E-4,50.36221757352117,0.6249511135343486
-156.6810617,20.88221167,train,9.207911176024977E-4,64.77349431931837,0.8119043074114624
-159.506745,21.90282833,train,5.235341170488125E-4,49.22719703654776,0.6132470341692575
-157.8076633,21.41009667,train,4.058566762621847E-4,41.166952100750805,0.5211843900526459
-157.96277,21.358875,train,0.002290116901403548,83.3779821719259,0.984321879599108
-155.8807533,19.41322167,train,8.036443616713844E-5,8.030922196113055,0.13569001617851362
-157.892625,21.34531167,train,0.0017602549834335466,77.10756682067556,0.9589940470490602
-157.8370382,21.31030763,train,0.0016623724296993259,76.07877677858515,0.9510241057819864
-157.8327428,21.2822781,train,0.002253283799366378,83.14901336233103,0.9832382256527882
-157.7973076,21.31608671,train,4.208160053941122E-4,42.10698535440803,0.5340066320354488
-157.8172728,21.26160469,train,0.003086177810113713,87.34035111511157,0.9963020131398512
-157.8289089,21.29722909,train,0.00534723002990774,95.46081045452806,0.9999388827901192
-157.8502025,21.32553624,train,0.002723610995372088,85.606678925661,0.9928602520964872
-157.826325,21.32467833,train,4.1548330330480306E-4,41.83139680838887,0.5294756280229954
