variable,x,y
mean_temp_final3_ready,1.2491667032241822,1.8345148733445171E-9
mean_temp_final3_ready,1.3011867042541505,1.8345148733445171E-9
mean_temp_final3_ready,1.3532067052841188,1.8345148733445171E-9
mean_temp_final3_ready,1.405226706314087,1.8345148733445171E-9
mean_temp_final3_ready,1.4572467073440551,1.8345148733445171E-9
mean_temp_final3_ready,1.5092667083740237,1.8345148733445171E-9
mean_temp_final3_ready,1.5612867094039917,1.8345148733445171E-9
mean_temp_final3_ready,1.61330671043396,1.8345148733445171E-9
mean_temp_final3_ready,1.6653267114639283,1.8345148733445171E-9
mean_temp_final3_ready,1.7173467124938966,1.8345148733445171E-9
mean_temp_final3_ready,1.7693667135238649,1.8345148733445171E-9
mean_temp_final3_ready,1.821386714553833,1.8345148733445171E-9
mean_temp_final3_ready,1.8734067155838012,1.8345148733445171E-9
mean_temp_final3_ready,1.9254267166137695,1.8345148733445171E-9
mean_temp_final3_ready,1.9774467176437378,1.8345148733445171E-9
mean_temp_final3_ready,2.029466718673706,1.8345148733445171E-9
mean_temp_final3_ready,2.0814867197036744,1.8345148733445171E-9
mean_temp_final3_ready,2.1335067207336427,1.8345148733445171E-9
mean_temp_final3_ready,2.185526721763611,1.8345148733445171E-9
mean_temp_final3_ready,2.237546722793579,1.8345148733445171E-9
mean_temp_final3_ready,2.2895667238235475,1.8345148733445171E-9
mean_temp_final3_ready,2.3415867248535154,1.8345148733445171E-9
mean_temp_final3_ready,2.393606725883484,1.8345148733445171E-9
mean_temp_final3_ready,2.445626726913452,1.8345148733445171E-9
mean_temp_final3_ready,2.4976467279434207,1.8345148733445171E-9
mean_temp_final3_ready,2.5496667289733885,1.8345148733445171E-9
mean_temp_final3_ready,2.6016867300033573,1.8345148733445171E-9
mean_temp_final3_ready,2.653706731033325,1.8345148733445171E-9
mean_temp_final3_ready,2.705726732063293,1.8345148733445171E-9
mean_temp_final3_ready,2.7577467330932617,1.8345148733445171E-9
mean_temp_final3_ready,2.8097667341232295,1.8345148733445171E-9
mean_temp_final3_ready,2.8617867351531983,1.8345148733445171E-9
mean_temp_final3_ready,2.913806736183166,1.8345148733445171E-9
mean_temp_final3_ready,2.965826737213135,1.8345148733445171E-9
mean_temp_final3_ready,3.0178467382431027,1.8345148733445171E-9
