variable,x,y
mean_temp_final3_ready,1.2491667032241822,1.2670116120716557E-6
mean_temp_final3_ready,1.3011867042541505,1.2670116120716557E-6
mean_temp_final3_ready,1.3532067052841188,1.2670116120716557E-6
mean_temp_final3_ready,1.405226706314087,1.2670116120716557E-6
mean_temp_final3_ready,1.4572467073440551,1.2670116120716557E-6
mean_temp_final3_ready,1.5092667083740237,1.2670116120716557E-6
mean_temp_final3_ready,1.5612867094039917,1.2670116120716557E-6
mean_temp_final3_ready,1.61330671043396,1.2670116120716557E-6
mean_temp_final3_ready,1.6653267114639283,1.2670116120716557E-6
mean_temp_final3_ready,1.7173467124938966,1.2670116120716557E-6
mean_temp_final3_ready,1.7693667135238649,1.2670116120716557E-6
mean_temp_final3_ready,1.821386714553833,1.2670116120716557E-6
mean_temp_final3_ready,1.8734067155838012,1.2670116120716557E-6
mean_temp_final3_ready,1.9254267166137695,1.2670116120716557E-6
mean_temp_final3_ready,1.9774467176437378,1.2670116120716557E-6
mean_temp_final3_ready,2.029466718673706,1.2670116120716557E-6
mean_temp_final3_ready,2.0814867197036744,1.2670116120716557E-6
mean_temp_final3_ready,2.1335067207336427,1.2670116120716557E-6
mean_temp_final3_ready,2.185526721763611,1.2670116120716557E-6
mean_temp_final3_ready,2.237546722793579,1.2670116120716557E-6
mean_temp_final3_ready,2.2895667238235475,1.2670116120716557E-6
mean_temp_final3_ready,2.3415867248535154,1.2670116120716557E-6
mean_temp_final3_ready,2.393606725883484,1.2670116120716557E-6
mean_temp_final3_ready,2.445626726913452,1.2670116120716557E-6
mean_temp_final3_ready,2.4976467279434207,1.2670116120716557E-6
mean_temp_final3_ready,2.5496667289733885,1.2670116120716557E-6
mean_temp_final3_ready,2.6016867300033573,1.2670116120716557E-6
mean_temp_final3_ready,2.653706731033325,1.2670116120716557E-6
mean_temp_final3_ready,2.705726732063293,1.2670116120716557E-6
mean_temp_final3_ready,2.7577467330932617,1.2670116120716557E-6
mean_temp_final3_ready,2.8097667341232295,1.2670116120716557E-6
mean_temp_final3_ready,2.8617867351531983,1.2670116120716557E-6
mean_temp_final3_ready,2.913806736183166,1.2670116120716557E-6
mean_temp_final3_ready,2.965826737213135,1.2670116120716557E-6
mean_temp_final3_ready,3.0178467382431027,1.2670116120716557E-6
mean_temp_final3_ready,3.0698667392730714,1.2670116120716557E-6
mean_temp_final3_ready,3.1218867403030393,1.2670116120716557E-6
mean_temp_final3_ready,3.173906741333008,1.2670116120716557E-6
mean_temp_final3_ready,3.225926742362976,1.2670116120716557E-6
mean_temp_final3_ready,3.277946743392944,1.2670116120716557E-6
mean_temp_final3_ready,3.329966744422913,1.2670116120716557E-6
mean_temp_final3_ready,3.3819867454528807,1.2670116120716557E-6
mean_temp_final3_ready,3.434006746482849,1.2752556131090387E-6
mean_temp_final3_ready,3.4860267475128173,1.3003806316191913E-6
mean_temp_final3_ready,3.5380467485427856,1.326107167187729E-6
mean_temp_final3_ready,3.5900667495727534,1.3524512496587704E-6
mean_temp_final3_ready,3.642086750602722,1.3794298183711362E-6
mean_temp_final3_ready,3.6941067516326904,1.4070595852899714E-6
mean_temp_final3_ready,3.7461267526626587,1.4353579445014475E-6
mean_temp_final3_ready,3.7981467536926266,1.4643433132732753E-6
mean_temp_final3_ready,3.850166754722595,1.4940341088731657E-6
mean_temp_final3_ready,3.9021867557525636,1.524449430689856E-6
mean_temp_final3_ready,3.954206756782532,1.5556088328594342E-6
mean_temp_final3_ready,4.0062267578125,1.5875327790126903E-6
mean_temp_final3_ready,4.058246758842468,1.620242187527765E-6
mean_temp_final3_ready,4.110266759872436,1.6537585452169878E-6
mean_temp_final3_ready,4.162286760902404,1.688103793640039E-6
mean_temp_final3_ready,4.214306761932373,1.723300897538138E-6
mean_temp_final3_ready,4.266326762962342,1.759373276399856E-6
mean_temp_final3_ready,4.318346763992309,1.7963451455216273E-6
mean_temp_final3_ready,4.370366765022277,1.8342409475735622E-6
mean_temp_final3_ready,4.422386766052245,1.8730871715888497E-6
mean_temp_final3_ready,4.474406767082215,1.912909965540166E-6
mean_temp_final3_ready,4.526426768112183,1.953736273208051E-6
mean_temp_final3_ready,4.57844676914215,1.9955944026150974E-6
mean_temp_final3_ready,4.630466770172118,2.038513002844411E-6
mean_temp_final3_ready,4.682486771202087,2.082521859847475E-6
mean_temp_final3_ready,4.734506772232056,2.1276521238178248E-6
mean_temp_final3_ready,4.786526773262024,2.173935172322672E-6
mean_temp_final3_ready,4.838546774291991,2.22140374717128E-6
mean_temp_final3_ready,4.89056677532196,2.270091044920264E-6
mean_temp_final3_ready,4.942586776351929,2.320031853741966E-6
mean_temp_final3_ready,4.994606777381897,2.371262098677107E-6
mean_temp_final3_ready,5.046626778411865,2.423817932140082E-6
mean_temp_final3_ready,5.098646779441833,2.477738235029392E-6
mean_temp_final3_ready,5.150666780471802,2.533061660869862E-6
mean_temp_final3_ready,5.20268678150177,2.5898284548020456E-6
mean_temp_final3_ready,5.254706782531738,2.648080226208549E-6
mean_temp_final3_ready,5.306726783561706,2.707859948714031E-6
