X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-155.9634821,19.59960233,train,3.3195456601890484E-4,34.46434987049448,0.43283310221892113
-155.9701389,19.594,train,2.4226048444395945E-4,27.05489888879643,0.33891368687301593
-155.9044167,19.425,train,3.15739351841151E-4,32.94158973780443,0.41690202820457567
-155.59025,19.0595556,train,8.210202450740295E-5,7.265329866836034,0.1308684162886269
-155.0396111,19.6245278,train,2.162311815403273E-4,24.190662163991576,0.30885328359645237
-155.3732222,20.0411389,train,3.188850115814646E-5,2.013852384784812,0.053020090965143374
-159.367397,21.9761102,train,5.946876140785856E-4,52.5032671482964,0.6379407024417709
-159.384475,22.20865,train,3.085847678961645E-4,32.45539051043888,0.4097312710158306
-159.38275,22.2100833,train,5.15123621326142E-4,47.77776999411283,0.5852263919519255
-159.509247,21.924507,train,2.862283274046903E-4,30.563018016227403,0.38675102714229637
-159.7088056,21.9679722,train,1.2199942663059616E-4,12.493606641965071,0.18813428145875744
-159.593462,21.907638,train,1.3921162669489263E-4,14.752436675397048,0.21165948198934093
-157.8592222,21.3168333,train,0.004670898399863699,91.18101379747908,0.9996576335662094
-157.8555556,21.2980278,train,0.00976566243274043,100.0,0.9999999431800193
-157.83275,21.4309167,train,2.9571798089708017E-4,31.436330909987955,0.39661277416928153
-158.0558333,21.6416111,train,2.2348928143350871E-4,25.18375494818672,0.31737026551423453
-157.8441944,21.2946389,train,0.008710402023142452,98.1115770453042,0.9999996553033775
-157.8582778,21.3018056,train,0.005608869167304903,95.89952435578674,0.999931043268237
-157.8586944,21.3022222,train,0.006055579622709269,96.50509050854646,0.9999678525898107
-157.8148056,21.30125,train,0.0015438857294452107,73.10943635524008,0.9284622595348382
-157.8138056,21.2995556,train,0.0017619174964686342,75.86977547005436,0.9507087821884316
-157.8443056,21.3169722,train,0.0017879387268912512,76.40432875508073,0.9528519805336699
-157.839,21.30725,train,0.0043530645886760665,90.7139330524054,0.9994107445559632
-157.8016667,21.3172778,train,0.0011745296730226108,67.71490719250919,0.8655459574528686
-157.781771,21.368189,train,4.069905698762418E-4,40.845122527175256,0.5010707738008691
-157.812344,21.415525,train,5.752416013581206E-4,51.342201186935206,0.625710704944079
-158.0171667,21.3845833,train,2.3170942208643002E-4,26.04214562363038,0.32688947502444665
-158.0227778,21.4986667,train,7.29014368931779E-5,6.192257165433612,0.11709946164095086
-157.83775,21.3383056,train,8.301792059244397E-4,60.79122107293899,0.7578636692140653
-157.8481389,21.3121667,train,0.0012106570343450337,68.48025301873504,0.8735934245987204
-157.8501944,21.311,train,0.003191698872927822,87.343975337276,0.9957148806534196
-157.8617222,21.3144444,train,0.002368230260015323,81.9610902659211,0.9825045896613807
-157.8644444,21.2948056,train,0.009118612307887453,99.02343724020065,0.9999998283787653
-157.8348333,21.29925,train,0.0073544130351419525,97.24053427366826,0.9999965046199236
-157.813061,21.312601,train,0.0011355514735455268,67.26810522751802,0.8562879437432842
-157.8459167,21.3276667,train,0.0010034777856385065,64.63470142899034,0.8199125454824819
-157.849171,21.304558,train,0.005085793260443953,92.6668353433854,0.9998314744923469
-157.8181111,21.2940278,train,0.0034253097364545567,88.02553060566827,0.9971249953252043
-158.0558167,21.64168889,train,1.101083948727988E-4,10.944348955311362,0.17147314274010683
-155.5504133,19.08601117,train,2.175460244644582E-4,24.35760165690863,0.3104040226551581
-156.4372437,20.67469717,train,6.809363510185893E-4,55.791547679830494,0.6875441642266726
-156.6810617,20.88221167,train,7.312427735397889E-4,57.72657023037162,0.7132757124983654
-159.506745,21.90282833,train,6.022595100131859E-4,53.048432801615164,0.6425939988091685
-157.8076633,21.41009667,train,5.393061665655249E-4,49.07525576684755,0.6020127054920339
-157.96277,21.358875,train,0.0017815151862731287,76.20919231048808,0.9523317386501546
-155.8807533,19.41322167,train,4.1224898118038446E-5,2.785954674707829,0.06800463209798513
-157.892625,21.34531167,train,0.0012307656670888377,68.76541843383484,0.8778621299428248
-157.8327428,21.2822781,train,0.0029570263240273004,86.41638405863701,0.9936015468855907
-157.7973076,21.31608671,train,2.9903394730017123E-4,31.633837348492232,0.4000212402205834
-157.8172728,21.26160469,train,0.005234920511945592,93.70761322139057,0.9998693760745018
-157.8289089,21.29722909,train,0.005555198006365074,95.33862983259657,0.9999244216773185
-157.8502025,21.32553624,train,0.0017761889222181393,76.04740862283391,0.9518960144774355
-157.826325,21.32467833,train,3.231280041617555E-4,33.696014138810725,0.42421596102560044
-155.928562,19.54247509,test,1.3464399588109241E-5,0.7504834762422482,0.022739660674799933
-155.9131064,19.49191103,test,8.477988942090347E-6,0.4453306537924628,0.014379171206097219
-155.8981389,19.4578056,test,1.2629196035217086E-4,13.204913103174716,0.19406611254450568
-159.3648056,21.9768611,test,6.755908489022612E-4,55.66198255671487,0.6846777170507792
-157.8579722,21.317,test,0.0028205442990979954,85.70649767751851,0.9919214028301537
-157.817,21.3014167,test,0.0015321725459829891,72.89225113269266,0.9270163374056969
-157.8323056,21.3065833,test,0.00254643205268429,84.33590174487321,0.9870964335115471
-157.9724167,21.3944722,test,4.951220815530446E-4,46.315068220581566,0.5708086289286544
-158.0155,21.3863333,test,2.672918772493049E-4,29.158629082540124,0.36658773547611156
-158.0252222,21.4996944,test,7.018386799994915E-5,5.815362888285949,0.11299096304970424
-157.81475,21.2888056,test,0.0035477271540871663,88.38029764655495,0.9976675484247011
-156.4782754,20.8901656,test,3.8796000299781214E-4,38.96904978522234,0.48458338776274523
-157.8370382,21.31030763,test,0.0011363405025223456,67.27622633540753,0.8564815305522403
