Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,Bioclim2 contribution,Clipped_bioclim12 contribution,Clipped_bioclim14 contribution,Clipped_bioclim15 contribution,Clipped_bioclim18 contribution,Clipped_bioclim3 contribution,Clipped_bioclim4 contribution,Clipped_elev contribution,mean_temp_final3_ready contribution,Bioclim2 permutation importance,Clipped_bioclim12 permutation importance,Clipped_bioclim14 permutation importance,Clipped_bioclim15 permutation importance,Clipped_bioclim18 permutation importance,Clipped_bioclim3 permutation importance,Clipped_bioclim4 permutation importance,Clipped_elev permutation importance,mean_temp_final3_ready permutation importance,Training gain without Bioclim2,Training gain without Clipped_bioclim12,Training gain without Clipped_bioclim14,Training gain without Clipped_bioclim15,Training gain without Clipped_bioclim18,Training gain without Clipped_bioclim3,Training gain without Clipped_bioclim4,Training gain without Clipped_elev,Training gain without mean_temp_final3_ready,Training gain with only Bioclim2,Training gain with only Clipped_bioclim12,Training gain with only Clipped_bioclim14,Training gain with only Clipped_bioclim15,Training gain with only Clipped_bioclim18,Training gain with only Clipped_bioclim3,Training gain with only Clipped_bioclim4,Training gain with only Clipped_elev,Training gain with only mean_temp_final3_ready,Test gain without Bioclim2,Test gain without Clipped_bioclim12,Test gain without Clipped_bioclim14,Test gain without Clipped_bioclim15,Test gain without Clipped_bioclim18,Test gain without Clipped_bioclim3,Test gain without Clipped_bioclim4,Test gain without Clipped_elev,Test gain without mean_temp_final3_ready,Test gain with only Bioclim2,Test gain with only Clipped_bioclim12,Test gain with only Clipped_bioclim14,Test gain with only Clipped_bioclim15,Test gain with only Clipped_bioclim18,Test gain with only Clipped_bioclim3,Test gain with only Clipped_bioclim4,Test gain with only Clipped_elev,Test gain with only mean_temp_final3_ready,AUC without Bioclim2,AUC without Clipped_bioclim12,AUC without Clipped_bioclim14,AUC without Clipped_bioclim15,AUC without Clipped_bioclim18,AUC without Clipped_bioclim3,AUC without Clipped_bioclim4,AUC without Clipped_elev,AUC without mean_temp_final3_ready,AUC with only Bioclim2,AUC with only Clipped_bioclim12,AUC with only Clipped_bioclim14,AUC with only Clipped_bioclim15,AUC with only Clipped_bioclim18,AUC with only Clipped_bioclim3,AUC with only Clipped_bioclim4,AUC with only Clipped_elev,AUC with only mean_temp_final3_ready,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
religiosa_0,52,1.7459,2.1462,500,0.9360,14,1.4617,0.8867,0.0351,10027,9.9622,1.2144,0.5914,0.0520,0.4782,8.5275,0.1733,40.3599,38.6413,24.5894,1.4026,0.9967,0.0000,1.2322,3.5721,0.6368,1.3911,66.1791,1.5672,1.7370,1.7423,1.7439,1.7337,1.7461,1.7461,1.7164,1.4723,0.4215,0.2016,0.1527,0.0046,0.1251,0.3495,0.3495,1.0613,1.3154,1.2027,1.4378,1.4791,1.4572,1.5063,1.4640,1.4640,1.4575,1.4589,0.3377,0.2287,-0.0323,0.0143,-0.0088,0.3073,0.3073,1.2787,1.2900,0.8628,0.8862,0.8876,0.8871,0.8901,0.8867,0.8867,0.8895,0.9005,0.6997,0.6944,0.5641,0.5553,0.5951,0.7192,0.7192,0.9000,0.9054,7.4743,0.1022,1.0000,0.0253,0.4157,0.0000,0.0000,4.598E-6,5.0000,0.0969,0.2927,0.0385,0.2143,1.933E-4,10.0000,0.1546,0.2268,0.0769,0.2143,1.479E-5,2.3959,0.0533,0.3519,0.0000,0.0714,1.194E-5,18.9728,0.2380,0.1539,0.0962,0.3571,4.61E-5,21.7975,0.2652,0.1366,0.1346,0.3571,1.727E-5,18.9728,0.2380,0.1539,0.0962,0.3571,4.61E-5,11.2496,0.1679,0.2143,0.0769,0.2143,8.287E-6,2.1946,0.0489,0.3585,0.0000,0.0000,5.799E-7,2.3959,0.0533,0.3519,0.0000,0.0714,1.194E-5,15.8380,0.2090,0.1757,0.0769,0.2857,1.404E-5
religiosa_1,53,1.5930,1.9218,500,0.9230,13,2.1410,0.9468,0.0226,10027,8.6142,2.9916,0.1507,0.2368,0.3059,6.2087,0.2272,59.0923,22.1726,9.6648,0.7563,1.4421,0.6787,0.4222,0.8140,0.0245,6.3576,79.8399,1.4258,1.5700,1.5875,1.5834,1.5894,1.5926,1.5926,1.5660,1.4149,0.3457,0.1837,0.0811,0.0182,0.0825,0.2937,0.2937,1.0921,1.2303,1.8187,2.1763,2.1493,2.1691,2.1411,2.1456,2.1456,2.1563,1.7195,0.5960,0.2878,0.2339,-0.0470,0.1288,0.5183,0.5183,1.1677,1.6513,0.9232,0.9481,0.9483,0.9478,0.9466,0.9470,0.9470,0.9460,0.9302,0.8249,0.7194,0.7265,0.4923,0.6997,0.7731,0.7731,0.8848,0.9259,7.6257,0.1196,1.0000,0.0311,0.4205,0.0000,0.0000,1.284E-5,5.0000,0.1132,0.3027,0.0566,0.0000,1.79E-7,10.0000,0.1770,0.2371,0.0943,0.0769,3.199E-7,1.2538,0.0379,0.4056,0.0000,0.0000,8.042E-6,10.7090,0.1843,0.2298,0.0943,0.0769,2.219E-7,17.2389,0.2495,0.1747,0.1698,0.0769,8.829E-9,9.6430,0.1739,0.2407,0.0755,0.0769,3.833E-7,25.5195,0.3357,0.1256,0.2075,0.1538,7.47E-9,25.4995,0.3354,0.1256,0.2075,0.0769,1.765E-10,1.2538,0.0379,0.4056,0.0000,0.0000,8.042E-6,13.4259,0.2110,0.2044,0.1698,0.0769,5.625E-8
religiosa_2,53,1.8160,2.1670,500,0.9339,13,1.1850,0.8895,0.0258,10027,11.3314,1.6322,0.0173,0.5365,0.2391,3.8844,0.2551,35.7481,46.3560,10.4257,0.6396,0.3193,0.7729,0.4702,1.9190,0.0320,0.0438,85.3776,1.6143,1.7994,1.8147,1.8017,1.8132,1.8154,1.8154,1.7987,1.5460,0.4560,0.2310,0.1198,0.0076,0.0978,0.3708,0.3708,1.1408,1.4333,0.9679,1.1807,1.1655,1.2208,1.1601,1.1800,1.1800,1.1260,1.1383,0.1353,0.1029,0.0959,-0.0108,0.1194,0.1631,0.1631,0.9574,0.7863,0.8622,0.8917,0.8876,0.8975,0.8872,0.8894,0.8894,0.8840,0.8826,0.6550,0.6599,0.6584,0.5409,0.6596,0.6806,0.6806,0.8562,0.8543,7.4031,0.0941,1.0000,0.0227,0.4045,0.0000,0.0000,7.763E-6,5.0000,0.0876,0.2789,0.0566,0.0769,2.142E-6,10.0000,0.1446,0.2110,0.0755,0.1538,1.876E-6,2.0027,0.0421,0.3534,0.0000,0.0000,1.343E-6,11.5636,0.1591,0.1954,0.0943,0.1538,8.324E-7,14.4530,0.1875,0.1705,0.1698,0.3077,4.489E-5,11.4688,0.1586,0.1964,0.0755,0.1538,8.784E-7,11.7442,0.1609,0.1938,0.1321,0.2308,1.195E-5,8.9228,0.1323,0.2229,0.0755,0.0769,1.553E-7,2.0027,0.0421,0.3534,0.0000,0.0000,1.343E-6,15.3596,0.1958,0.1637,0.2075,0.3077,3.19E-5
religiosa_3,53,1.5567,1.8223,500,0.9223,13,2.0529,0.9205,0.0319,10030,8.7061,2.4542,0.0133,0.3281,1.7150,6.4724,0.2443,46.6839,33.3827,9.6757,0.6064,0.0000,0.2778,2.2872,0.0000,0.0000,0.1141,87.0388,1.3886,1.5489,1.5565,1.5425,1.5423,1.5570,1.5570,1.5445,1.4038,0.3593,0.2127,0.1121,0.0113,0.1061,0.2776,0.2776,1.0427,1.2201,1.7671,2.0373,2.0546,2.0830,2.1826,2.0525,2.0525,1.9952,1.6460,0.5621,0.1378,0.0433,-0.0174,-0.0738,0.5449,0.5449,1.3538,1.6445,0.9022,0.9219,0.9209,0.9218,0.9269,0.9208,0.9208,0.9157,0.9043,0.8109,0.6464,0.6118,0.5028,0.5416,0.7883,0.7883,0.9177,0.9177,7.6609,0.1233,1.0000,0.0304,0.4248,0.0000,0.0000,1.468E-5,5.0000,0.1131,0.3001,0.0755,0.0769,5.015E-6,10.0000,0.1815,0.2339,0.1132,0.2308,6.854E-5,1.9290,0.0534,0.3782,0.0000,0.0000,3.235E-6,8.4007,0.1637,0.2518,0.0943,0.1538,1.194E-5,16.7838,0.2501,0.1743,0.1698,0.2308,4.41E-6,14.3062,0.2262,0.1935,0.1321,0.2308,1.18E-5,10.3043,0.1842,0.2308,0.1132,0.2308,6.065E-5,4.1280,0.0966,0.3168,0.0755,0.0000,3.244E-7,1.9290,0.0534,0.3782,0.0000,0.0000,3.235E-6,12.2430,0.2028,0.2117,0.1321,0.2308,2.723E-5
religiosa_4,53,1.7731,2.1092,500,0.9401,13,1.2768,0.8856,0.0395,10029,9.9810,0.9751,0.5859,0.0223,0.2397,6.3123,0.1240,54.7894,26.9702,12.3690,0.3130,1.3827,0.1270,0.3638,0.0000,0.1739,4.4667,80.8038,1.5568,1.7689,1.7690,1.7719,1.7685,1.7734,1.7734,1.7445,1.5415,0.3656,0.1656,0.1050,0.0050,0.0784,0.3142,0.3142,1.2012,1.3664,1.2079,1.2496,1.2746,1.2625,1.2869,1.2746,1.2746,1.3003,1.1573,0.5023,0.3334,0.1617,0.0201,0.1501,0.4430,0.4430,0.6923,1.0750,0.8808,0.8839,0.8842,0.8850,0.8855,0.8856,0.8856,0.8874,0.8798,0.7741,0.7424,0.6658,0.5844,0.6989,0.7426,0.7426,0.8385,0.8726,7.4433,0.0992,1.0000,0.0288,0.3714,0.0000,0.1538,6.309E-4,5.0000,0.1042,0.2659,0.0377,0.1538,2.1E-5,10.0000,0.1617,0.2054,0.0755,0.2308,2.059E-5,2.0162,0.0530,0.3289,0.0000,0.1538,1.859E-4,12.4582,0.1881,0.1836,0.0943,0.2308,7.193E-6,20.0929,0.2629,0.1321,0.1321,0.3077,5.291E-6,24.2066,0.3089,0.1112,0.1321,0.3077,1.218E-6,7.6048,0.1356,0.2307,0.0755,0.2308,6.046E-5,29.1914,0.3666,0.0902,0.2264,0.3077,2.023E-7,2.0162,0.0530,0.3289,0.0000,0.1538,1.859E-4,14.1516,0.2048,0.1703,0.1132,0.3077,4.438E-5
religiosa (average),52.8000,1.6969,2.0333,500.0000,0.9311,13.2000,1.6235,0.9058,0.0310,10028.0000,9.7190,1.8535,0.2717,0.2351,0.5956,6.2811,0.2048,47.3347,33.5046,13.3449,0.7436,0.8282,0.3713,0.9551,1.2610,0.1734,2.4747,79.8478,1.5105,1.6848,1.6940,1.6887,1.6894,1.6969,1.6969,1.6740,1.4757,0.3896,0.1989,0.1141,0.0093,0.0980,0.3212,0.3212,1.1076,1.3131,1.3929,1.6163,1.6246,1.6385,1.6554,1.6233,1.6233,1.6071,1.4240,0.4267,0.2181,0.1005,-0.0082,0.0631,0.3953,0.3953,1.0900,1.2894,0.8862,0.9064,0.9057,0.9078,0.9073,0.9059,0.9059,0.9045,0.8995,0.7529,0.6925,0.6453,0.5351,0.6390,0.7408,0.7408,0.8794,0.8952,7.5215,0.1077,1.0000,0.0277,0.4074,0.0000,0.0308,0.0001,5.0000,0.1030,0.2881,0.0530,0.1044,0.0000,10.0000,0.1639,0.2228,0.0871,0.1813,0.0000,1.9195,0.0479,0.3636,0.0000,0.0450,0.0000,12.4209,0.1866,0.2029,0.0947,0.1945,0.0000,18.0732,0.2430,0.1576,0.1552,0.2560,0.0000,15.7195,0.2211,0.1791,0.1023,0.2253,0.0000,13.2845,0.1969,0.1990,0.1210,0.2121,0.0000,13.9873,0.1960,0.2228,0.1170,0.0923,0.0000,1.9195,0.0479,0.3636,0.0000,0.0450,0.0000,14.2036,0.2047,0.1852,0.1399,0.2418,0.0000
